title,image,link,date,language,source
"Au Mozambique, une brigade de police locale 100 % féminine contre les violences sur les femmes",https://s.france24.com/media/display/8f61a0fc-e7ff-11ec-8750-005056a9a7b9/w:388/p:16x9/000_32BJ9PJ.jpg,https://www.france24.com/fr/vid%C3%A9o/20220609-au-mozambique-une-brigade-de-police-locale-100-f%C3%A9minine-contre-les-violences-sur-les-femmes,09/06/2022,fr,france24
Guerre en Ukraine : Russie cherche soldats désespérément,https://s.france24.com/media/display/e12350f0-e73e-11ec-89fa-005056a97e36/w:388/p:16x9/080622-russie-soldat-plombs-m.JPG,https://www.france24.com/fr/europe/20220608-guerre-en-ukraine-russie-cherche-soldats-d%C3%A9sesp%C3%A9r%C3%A9ment,09/06/2022,fr,france24
"Grève des magistrats en Tunisie : ""Exposer la vie privée des femmes, est-ce digne du président ?""",https://s.france24.com/media/display/95630608-e7c3-11ec-a660-005056bfb2b6/w:388/p:16x9/Tunisie-Juges-Manif.jpg,https://www.france24.com/fr/afrique/20220609-gr%C3%A8ve-des-magistrats-en-tunisie-exposer-la-vie-priv%C3%A9e-des-femmes-est-ce-digne-du-pr%C3%A9sident,09/06/2022,fr,france24
Tuerie d'Uvalde : une fillette rescapée livre un témoignage glaçant au Congrès américain,https://s.france24.com/media/display/5acbc408-e791-11ec-9f4b-005056a97e36/w:388/p:16x9/2022-06-08T154446Z_31024723_RC2QNU9U3P4B_RTRMADP_3_USA-GUNS.JPG,https://www.france24.com/fr/am%C3%A9riques/20220609-une-rescap%C3%A9e-de-la-tuerie-d-uvalde-livre-un-t%C3%A9moignage-gla%C3%A7ant-au-congr%C3%A8s-am%C3%A9ricain,09/06/2022,fr,france24
Assaut du Capitole : une commission parlementaire présente ses premières conclusions,https://s.france24.com/media/display/30aa1a7c-6a37-11eb-9bee-005056a964fe/w:388/p:16x9/000_92E63U.jpg,https://www.france24.com/fr/am%C3%A9riques/20220609-assaut-du-capitole-une-commission-parlementaire-pr%C3%A9sente-ses-premi%C3%A8res-conclusions,09/06/2022,fr,france24
Les chars de la discorde : bientôt des Leopard 2 en Ukraine ?,https://s.france24.com/media/display/8c188b9a-e66a-11ec-a81a-005056bf30b7/w:388/p:16x9/070622-leopard-tank-all-ukraine-m.jpg,https://www.france24.com/fr/europe/20220607-les-chars-de-la-discorde-bient%C3%B4t-des-leopard-2-en-ukraine,09/06/2022,fr,france24
"Covid-19 : à Shanghai, retour à une vie pas si normale après deux mois de confinement",https://s.france24.com/media/display/be634282-e71b-11ec-85b4-005056bfb2b6/w:246/p:16x9/000_32BQ6TC.jpg,https://www.france24.com/fr/asie-pacifique/20220608-covid-19-%C3%A0-shanghai-retour-%C3%A0-une-vie-pas-si-normale-apr%C3%A8s-deux-mois-de-confinement,09/06/2022,fr,france24
"Protéger les vagues, une première en France dans un village breton",https://s.france24.com/media/display/c8d3f5d8-e732-11ec-82d3-005056bfb2b6/w:246/p:16x9/000_32B76KY.jpg,https://www.france24.com/fr/france/20220608-prot%C3%A9ger-les-vagues-une-premi%C3%A8re-en-france-dans-un-village-breton,09/06/2022,fr,france24
"Les algues marines, une piste prometteuse pour la préservation de la planète",https://s.france24.com/media/display/d84dd970-841d-11ec-9ed8-005056a97e36/w:246/p:16x9/000_9698NC.jpg,https://www.france24.com/fr/france/20220608-les-algues-marines-une-piste-prometteuse-pour-la-pr%C3%A9servation-de-la-plan%C3%A8te,09/06/2022,fr,france24
Automobile : le Parlement européen vote la fin des moteurs thermiques en 2035,https://s.france24.com/media/display/9928a0f4-e796-11ec-bd0c-005056a97e36/w:388/p:16x9/2022-06-08T164053Z_790696574_RC2RNU95PT9C_RTRMADP_3_CLIMATE-CHANGE-EU-AUTOS.JPG,https://www.france24.com/fr/%C3%A9co-tech/20220609-automobile-le-parlement-europ%C3%A9en-vote-la-fin-des-moteurs-thermiques-en-2035,09/06/2022,fr,france24
Ligue 1 : Alexandre Lacazette de retour à Lyon,https://s.france24.com/media/display/694f778c-e7c7-11ec-b930-005056a9a7b9/w:388/p:16x9/000_OO0I6.jpg,https://www.france24.com/fr/sports/20220609-ligue-1-alexandre-lacazette-de-retour-%C3%A0-lyon,09/06/2022,fr,france24
Nucléaire iranien : l'Agence de l'énergie atomique rappelle à l'ordre Téhéran,https://s.france24.com/media/display/f05c344c-72a5-11eb-936f-005056bf87d6/w:388/p:16x9/IRAN%202.jpg,https://www.france24.com/fr/asie-pacifique/20220608-nucl%C3%A9aire-iranien-l-agence-de-l-%C3%A9nergie-atomique-rappelle-%C3%A0-l-ordre-t%C3%A9h%C3%A9ran,09/06/2022,fr,france24
Sahara occidental : l'Algérie suspend le traité de coopération avec l'Espagne,https://s.france24.com/media/display/8645f142-e743-11ec-af64-005056a97e36/w:388/p:16x9/2021-10-04T000000Z_402010734_MT1ABCPR783153001_RTRMADP_3_ABACA-PRESS%281%29.JPG,https://www.france24.com/fr/afrique/20220608-sahara-occidental-l-alg%C3%A9rie-suspend-le-trait%C3%A9-de-coop%C3%A9ration-avec-l-espagne,09/06/2022,fr,france24
États-Unis : les réfugiés afghans accueillis à bras ouverts au Texas,https://s.france24.com/media/display/71778f18-e7ee-11ec-9223-005056bf30b7/w:388/p:16x9/XX%20NW%20OOV%20ECRAN%20AFGHANS%20IN%20TEXAS.jpg,https://www.france24.com/fr/%C3%A9missions/focus/20220609-%C3%A9tats-unis-les-r%C3%A9fugi%C3%A9s-afghans-accueillis-%C3%A0-bras-ouverts-au-texas,09/06/2022,fr,france24
Exposition : Picasso à l'heure de #MeToo,https://s.france24.com/media/display/28f863ae-e7f6-11ec-8a9c-005056a97e36/w:246/p:16x9/CLEAN%20A%20L%20AFFICHE%2009-06-2022%2011-01-00_frame_57735.png,https://www.france24.com/fr/%C3%A9missions/%C3%A0-l-affiche/20220609-exposition-picasso-%C3%A0-l-heure-de-metoo,09/06/2022,fr,france24
Caravane de migrants : un sujet de tensions entre le Mexique et les États-Unis,https://s.france24.com/media/display/a5787158-e733-11ec-a800-005056a97e36/w:246/p:16x9/cap%20ameriques%20MIGRANT%20CARAVAN.jpg,https://www.france24.com/fr/%C3%A9missions/cap-am%C3%A9riques/20220609-caravane-de-migrants-un-sujet-de-tensions-entre-le-mexique-et-les-%C3%A9tats-unis,09/06/2022,fr,france24
"En RD Congo, le roi Philippe renouvelle ses ""regrets"" mais ne présente pas d'excuses",https://s.france24.com/media/display/10510ec6-e771-11ec-b876-005056a9a7b9/w:246/p:16x9/FR%20NW%20ENROBE%20ROI%20DES%20BELGES%20sot%20afp%20.transfer.jpg,https://www.france24.com/fr/%C3%A9missions/journal-de-l-afrique/20220608-en-rd-congo-le-roi-philippe-renouvelle-ses-regrets-mais-ne-pr%C3%A9sente-pas-d-excuses,09/06/2022,fr,france24
Frontière maritime contestée : tensions entre le Liban et Israël autour du gaz offshore,https://s.france24.com/media/display/3bd73dd8-e670-11ec-8562-005056a97e36/w:246/p:16x9/expressorient%20LIBAN%20ISRAEL%20GAZ%20DISPUTE.jpg,https://www.france24.com/fr/%C3%A9missions/express-orient/20220608-fronti%C3%A8re-maritime-contest%C3%A9e-tensions-entre-le-liban-et-isra%C3%ABl-autour-du-gaz-offshore,09/06/2022,fr,france24
La Transnistrie dans l'ombre de la guerre en Ukraine,https://s.france24.com/media/display/b8b50edc-e26c-11ec-a059-005056a97e36/w:246/p:16x9/XX%20PUSH%20PICTURE%20RER%20TRANSNISTRIE.jpg,https://www.france24.com/fr/%C3%A9missions/reporters/20220603-la-transnistrie-dans-l-ombre-de-la-guerre-en-ukraine,09/06/2022,fr,france24
"Sommet des Amériques : en ouverture, Joe Biden défend la démocratie sur le continent",https://s.france24.com/media/display/8d12d09e-e79d-11ec-9773-005056bf30b7/w:388/p:16x9/2022-06-09T020836Z_1231706425_RC22OU9CI6O5_RTRMADP_3_AMERICAS-SUMMIT.JPG,https://www.france24.com/fr/am%C3%A9riques/20220609-la-d%C3%A9mocratie-un-%C3%A9l%C3%A9ment-essentiel-pour-l-avenir-des-am%C3%A9riques-selon-joe-biden,09/06/2022,fr,france24
"Vice-ministre ukrainien de la transformation digitale : l'Ukraine est ""en guerre numérique depuis 2014""",https://s.france24.com/media/display/515b7a3c-e72b-11ec-a361-005056bf30b7/w:388/p:16x9/FRTK%20L%27ENTRETIEN%20DUBINSKIY%200608%20%282022%29_%20Ep%20101.jpg,https://www.france24.com/fr/%C3%A9missions/l-entretien/20220608-vice-ministre-ukrainien-de-la-transformation-digitale-l-ukraine-est-en-guerre-num%C3%A9rique-depuis-2014,09/06/2022,fr,france24
